ID	Author	String
1	0	介子推,晋国贤臣。因“割股奉君”，隐居“不言禄”之壮举，深得世人怀念,“寒食节”就是为了纪念介子的节日。
2	曹刿论战	夫战，勇气也。一鼓作气，再而衰，三而竭。
3	孟子	得道者多助，失道者寡助。寡助之至，亲戚畔之。多助之至，天下顺之。
4	荆轲歌	风萧萧兮易水寒，壮士一去兮不复还。探虎穴兮入蛟宫，仰天呼气兮成白虹。
5	智子疑邻	宋有富人，天雨墙坏。其子曰：“不筑，必将有盗。”其邻人之父亦云。暮而果大亡其财，其家甚智其子，而疑邻人之父。
6	佚名	关关雎鸠，在河之洲。窈窕淑女，君子好逑。参差荇菜，左右流之。窈窕淑女，寤寐求之。求之不得，寤寐思服。悠哉悠哉，辗转反侧。
7	夸父逐日	夸父与日逐走，入日；渴，欲得饮，饮于河、渭；河、渭不足，北饮大泽。未至，道渴而死。弃其杖，化为邓林。
8	佚名	天下之不助苗长者寡矣。以为无益而舍之者，不耘苗者也；助之长者，揠苗者也，非徒无益，而又害之。
9	逍遥游	鹏之徙于南冥也，水击三千里，抟扶摇而上者九万里，去以六月息者也。
10	国殇	诚既勇兮又以武，终刚强兮不可凌。身既死兮神以灵，魂魄毅兮为鬼雄。
11	胡服骑射	赵国在战国七雄中开军事变革潮流之先，经过短短十几年，便由一个小小中山国都敢侵犯的弱邦崛起为唯一能够同秦相抗衡的强国。
12	0	王翦，战国时期秦国名将，主要战绩有破赵国都城邯郸，消灭燕、赵、楚。与其子王贲一并成为秦始皇兼灭六国的最大功臣。
