ID	String
1	通常情况下，勇士进场的回合不能攻击，但带“疾行”能力的除外。
2	英雄可以培养三级秘技，能大大增加自身的实力。
3	对方场上有“护卫”能力的勇士时，必须优先攻击“护卫”。所以用“护卫”吸引火力是很好的策略。
4	从类型上分，有勇士，法术，英雄三类牌。
5	英雄牌很重要，取胜的方法就是先消灭对方的英雄。
6	各方最多可以同时上场五名勇士。
7	让牌进场是需要消耗资源的，当资源不足时，无法行动。
8	正常局，先手抽三张手牌，后手抽四张。
9	远程勇士在进攻时，不会受到对方反击。
10	勇士牌右侧小图标是Buf,某些法术能驱散这些Buf。
11	牌的头像有小宝石标记，不同颜色代表不同的品质：白、绿、兰、紫、橙，橙色最优。
12	英雄可以通过升级解锁新秘技，最多可以学习三种秘技。
13	英雄的秘技也是可以升级的，高级秘技有更大的威力和发动机率。
14	英雄的秘技的发动是完全自动的，玩家无需操作。
15	胜败乃兵家常事，您可能只是缺少一点点运气，请不要灰心。
16	每张牌都有它的价值，喜欢它后面的故事吗？仅仅是收集也是很有乐趣的。
17	完成每日任务了吗，您可以获得丰厚的奖励哦。
18	金币有什么用呢？可以在商店买卡包，升级英雄也需要它。
19	卡包里的牌是随机的，多攒点人品吧。
20	卡牌左上的数字说明了该牌消耗的资源，资源不足无法让牌进场。
21	日常任务可以获得英雄碎片，在“牌组”可以使用碎片对英雄升阶。
22	英雄升阶可以获得耐力、运势的加成，还可以解锁英雄秘技。
23	英雄的耐力可以提升英雄的初始始血量，运势可以增加英雄秘技发动的机率。
24	英雄最多可以学习三个技能，能学到哪些技能是随机的。
