ID	MyDeck	YourDeck	YourAI	SelectCard	MyFirst	Monster	rec
1	10	11	1	0	1	10001	quest_10001
2	20	21	1	0	0	10002	quest_10002
3	30	30	1	0	1	10003	0
4	40	41	1	0	0	10004	quest_10004
5	50	50	1	0	1	10005	0
6	60	61	1	0	0	10006	quest_10006
7	70	71	1	0	0	10007	quest_10007
8	80	80	1	0	1	10008	0
9	90	91	1	0	1	10009	quest_10009
10	100	100	1	0	1	10011	0
11	110	110	1	1	1	10012	0
101	0	1010	1	1	2	101	0
102	0	1011	1	1	2	102	0
103	0	1012	1	1	2	103	0
104	0	1020	1	1	2	104	0
105	0	1021	1	1	2	105	0
106	0	1022	1	1	2	106	0
107	0	1030	1	1	2	107	0
108	0	1031	1	1	2	108	0
109	0	1032	1	1	2	109	0
110	0	1040	1	1	2	110	0
111	0	1041	1	1	2	111	0
112	0	1042	1	1	2	112	0
113	0	1050	1	1	2	113	0
114	0	1051	1	1	2	114	0
115	0	1052	1	1	2	115	0
116	0	1060	1	1	2	116	0
117	0	1061	1	1	2	117	0
118	0	1062	1	1	2	118	0
119	0	1070	1	1	2	119	0
120	0	1071	1	1	2	120	0
121	0	1072	1	1	2	121	0
