ID	Name	WHEN	WHICH	WHAT	Condition	VAL	VAL2	LOOP	MAX	AREA	Action	MYSELF	BUF_ICON
1001	英雄怒	WHEN_TURN_END	WHICH_YOURSOLDIER	WHAT_DAMAGE	0	Hero	0	1	1	1	hero_dodamage	0	0
1002	治疗术	WHEN_TURN_BEGIN	WHICH_MYSOLDIER	WHAT_HEAL	0	Hero	0	1	1	1	hero_heal	0	0
1003	加攻	WHEN_TURN_END	WHICH_MYSOLDIER	WHAT_ATK_ADD	0	1	0	1	1	1	hero_pray	0	0
1004	加生命	WHEN_TURN_END	WHICH_MYSOLDIER	WHAT_HP_ADD	0	1	0	1	1	1	hero_pray	0	0
1008	驱散	WHEN_TURN_END	WHICH_YOURSOLDIER	WHAT_CLEAR_BUF	0	1	0	1	1	1	hero_clear_buf	0	0
1009	冻结	WHEN_TURN_BEGIN	WHICH_YOURSOLDIER	WHAT_STUN	0	1	0	2	1	1	hero_stun	0	buf_ice.png
1101	抽牌	WHEN_TURN_BEGIN	WHICH_OWNER	WHAT_DRAW_CARD	0	1	0	1	1	1	hero_draw_card	0	0
1102	随机召唤	WHEN_TURN_BEGIN	WHICH_OWNER	WHAT_SUMMON	0	0	0	0	1	1	hero_summon	0	0
1103	财运	WHEN_TURN_BEGIN	WHICH_OWNER	WHAT_RES_ADD	0	1	0	1	0	0	hero_add_res	0	0
1104	群伤	WHEN_TURN_END	WHICH_YOURSOLDIER	WHAT_DAMAGE	0	1	0	1	99	1	hero_destory_blast	0	0
1201	消灭	WHEN_TURN_END	WHICH_YOURSOLDIER	WHAT_KILL	0	0	0	0	1	1	hero_kill	1	0
1202	复制	WHEN_TURN_BEGIN	WHICH_OWNER	WHAT_COPY_HAND	0	1	0	1	1	1	hero_steal_handcard	0	0
1203	招降	WHEN_TURN_END	WHICH_YOURSOLDIER	WHAT_CONTROL	0	99	0	0	1	1	hero_ctrl_card	0	0
1204	群疗	WHEN_TURN_BEGIN	WHICH_MYSOLDIER	WHAT_HEAL	0	4	0	1	99	1	hero_heal_area	1	0
1205	养神	WHEN_TURN_BEGIN	WHICH_MYHERO	WHAT_HEAL	0	5	0	1	1	1	hero_heal_self	1	0
1206	0	WHEN_TURN_END	WHICH_MYSOLDIER	WHAT_ADD_ATK_HP	0	1	1	1	1	1	hero_kingKong_word	0	0
1207	0	WHEN_TURN_END	WHICH_MYSOLDIER	WHAT_IMMUNE	0	1	0	0	1	1	hero_absolute_def	1	buf_abs_def.png
10001	护卫	WHEN_ALL	WHICH_I	WHAT_GUIDE	0	1	0	0	0	0	0	1	buf_guider.png
10002	迷踪	WHEN_ALL	WHICH_I	WHAT_HIDE	0	1	0	0	0	0	0	1	buf_hide.png
10003	远程	WHEN_ALL	WHICH_I	WHAT_DIST	0	1	0	0	0	0	0	1	buf_dist.png
10004	可突袭	WHEN_EVER	WHICH_I	WHAT_CAN_RUSH	0	1	0	1	0	0	0	0	0
10005	受过伤	WHEN_EVER	WHICH_I	WHAT_HURTED	0	0	0	0	0	0	0	0	0
200070	朱亥	WHEN_ENTER	WHICH_I	WHAT_BUF	0	200071	0	0	1	1	0	1	buf_angry.png
200071	朱亥	WHEN_DAMAGED	WHICH_I	WHAT_ATK_ADD	0	3	0	0	1	0	0	1	0
200080	伍子胥	WHEN_ENTER	WHICH_I	WHAT_BUF	0	200081	0	0	1	0	0	1	buf_dead_curse.png
200081	伍子胥	WHEN_DEAD	WHICH_ALL	WHAT_DAMAGE	0	2	0	1	99	1	dead_curse	1	0
200120	王翦	WHEN_ENTER	WHICH_I	WHAT_BUF	0	200121	0	0	1	0	0	1	buf_dead_atk.png
200121	王翦	WHEN_SOLDIER_DEAD	WHICH_I	WHAT_ATK_ADD	0	1	0	0	1	0	update_tar_card	1	0
200210	旅贲	WHEN_EVER	WHICH_I	WHAT_NOREADY	0	0	0	0	0	0	0	0	0
200230	方士-宋无忌	WHEN_ENTER	WHICH_I	WHAT_BUF	0	200231	0	0	1	0	0	0	buf_pray_card.png
200231	方士-宋无忌	WHEN_I_USE_CARD	WHICH_I	WHAT_ADD_ATK_HP	0	1	1	0	1	0	update_tar_card	0	0
200240	孟尝君	WHEN_ENTER	WHICH_OWNER	WHAT_SUMMON	0	20015	0	1	1	0	enterfight_summon	1	0
200250	赵括	WHEN_ENTER	WHICH_MYSOLDIER	WHAT_ATK_ADD	0	2	0	1	1	0	strong	0	0
200260	医缓	WHEN_ENTER	WHICH_I	WHAT_BUF	0	200261	0	0	1	0	0	0	buf_pray_card.png
