ID	Name	WHEN	AbilityId	RANK	Race	RATE	VAL1	VAL2	Power
1001	英雄怒	WHEN_TURN_END	1001	1	null;	20;30;50	1;1;1	1;2;3	1
1002	滋养	WHEN_TURN_BEGIN	1002	1	water;	20;30;50	1;1;1	1;2;3	1
1003	祝福	WHEN_TURN_END	1003;1004;	1	null;	20;30;50	1;1;1	1;1;2	1.1
1008	驱散	WHEN_TURN_END	1008	1	fire	20;30;50	1;1;1	1;1;1	0.6
1009	冻结	WHEN_TURN_BEGIN	1009	1	gold	20;30;50	1;1;1	1;1;1	0.5
1101	妙手	WHEN_TURN_BEGIN	1101	2	null;	15;20;30	1;1;1	1;1;1	1.8
1102	召唤	WHEN_TURN_BEGIN	1102	2	null;	90;90;90	1;1;1	1;2;3	1.5
1103	财运	WHEN_TURN_BEGIN	1103	2	null;	15;20;30	1;1;1	1;1;1	2
1104	群伤	WHEN_TURN_END	1104	2	null;	15;20;30	1;1;1	1;1;2	2.2
1201	超度	WHEN_TURN_END	1201	3	null;	10;15;20	1;1;1	1;1;1	3.2
1202	复制	WHEN_TURN_BEGIN	1202	3	null;	10;15;20	1;1;1	1;1;1	3
1203	招降	WHEN_TURN_END	1203	3	null;	10;15;20	1;1;1	1;1;1	3.5
1204	群疗	WHEN_TURN_BEGIN	1204	3	null;	10;15;20	1;1;1	1;2;3	2.8
1205	养神	WHEN_TURN_END	1205	3	null;	10;15;20	2;3;4	2;4;4	2.6
1206	神恩	WHEN_TURN_END	1206;1207	3	null;	10;15;20	1;1;1	1;2;3	3
